event,location,latitude,longitude,event_type
Caroline Herschel discovers a comet (the first discovered by a woman) from England.,England,54.0,-2.0,none
"Mont Blanc is climbed for the first time, by Michel-Gabriel Paccard and Jacques Balmat .",Mont Blanc,46.51,6.57,none
"Captain Francis Light acquires the island of Penang from the Sultan of Kedah on behalf of the British East India Company , renaming it Prince of Wales Island in honour of the heir to the British throne , and establishing the settlement of George Town . This is the first colony of the British Empire in Southeast Asia.","Penang, Malaysia",5.4,100.3,purchase or sale of territory
"Frederick William , the paternal nephew of Frederick the Great, becomes King of Prussia as Frederick William II.",Prussia,,,dynasty change
"The Kingdom of Denmark (including Norway ) charters six settlements in Iceland to trade with it, thus ending the Danish–Icelandic Trade Monopoly , and founding Reykjavík .",Iceland,64.2,-21.9,purchase or sale of territory
Shays' Rebellion begins in Massachusetts .,Massachusetts,42.0,-71.5,revolution or coup
A hurricane strikes Barbados .,Barbados,13.1,-59.5,cataclysm or fire
"14 – The Annapolis Convention is held by delegates from six of the 13 states (Maryland, Virginia, Pennsylvania, Delaware, New Jersey and New York) resulting in the scheduling of the Philadelphia Convention to draft a national constitution.","Annapolis, Maryland, United States",38.9,-76.5,none
Connecticut cedes to the United States all of its claims to lands between the 41st and 42nd parallels north and west of the Connecticut Western Reserve .,Connecticut,41.5,-72.5,purchase or sale of territory
The mine of Huancavelica in the Peruvian Andes collapses killing more than hundred people. The event was a major setback for quicksilver production in the Spanish Empire .,"Huancavelica, Peruvian Andes",13.6,-76.5,cataclysm or fire
Eden Agreement : A commercial treaty is signed between the Kingdoms of Great Britain and France.,,,,purchase or sale of territory
HMS Bellerophon begins service with the Royal Navy.,United Kingdom,54.0,-2.0,none
The Confederation Congress of the United States directs backpay for seven months for Virginia officers who have been waiting since 1782.,"Virginia, United States",37.5,-78.0,financial reform
"King George III of the United Kingdom appoints Captain Arthur Phillip as the first Governor of New Holland, which comprises the area of modern Australia from the 135th meridian east to the east coast and all adjacent islands in the Pacific Ocean.",New Holland,-33.8688,151.2093,none
"The Confederation Congress establishes the United States Mint to make common coinage and currency for the U.S., to replace individual state coins.",United States,38.9,-77.0,financial reform
"General David Cobb of the Massachusetts militia defeats a body of rebel insurgents at Taunton, Massachusetts in one of the battles of Shays' Rebellion .","Taunton, Massachusetts",41.9,-71.0,revolution or coup
"The oldest musical organization in the United States, the Stoughton Musical Society , is founded.",United States,37.0,-95.0,none
"Peter Leopold Joseph of Habsburg-Lorraine , Grand Duke of Tuscany , promulgates a penal reform, making his country the first state to abolish the death penalty. This day is therefore commemorated by 300 cities around the world as Cities for Life Day .",Tuscany,43.7,11.2,religious reform
Mission Santa Barbara is founded by Padre Fermín Lasuén as the tenth of the Spanish missions in California . December 4 : Mission Santa Barbara is founded.,"Santa Barbara, California",34.42,-119.67,none
"Robert Burns 's Address to a Haggis is first published, in Edinburgh .","Edinburgh, United Kingdom",55.9,-3.2,none
"The North Carolina General Assembly authorizes nine commissioners to purchase 100 acres (0.40 km 2 ) of land for the seat of Chatham County . The town is named Pittsborough (later shortened to Pittsboro ), for William Pitt the Younger .","Pittsboro, North Carolina",35.8,-79.0,purchase or sale of territory
"William Herschel discovers Titania and Oberon , two moons of Uranus .",,,,none
Mozart 's Symphony No. 38 is premièred in Prague .,Prague,50.1,14.5,none
Arthur St. Clair of Pennsylvania is chosen as the new President of the Congress of the Confederation.,Pennsylvania,40.5,-77.0,none
Shays' Rebellion in Massachusetts fails.,Massachusetts,42.0,-71.0,revolution or coup
The Confederation Congress sends word to the 13 states that a convention will be held in Philadelphia on May 14 to revise the Articles of Confederation.,"Philadelphia, United States",39.95,-75.17,none
"A charter is granted, establishing the institution which will become the University of Pittsburgh .","Pittsburgh, United States",40.4,-79.9,none
"By a vote of 33 to 29, Harrisburg is approved as the new capital of Pennsylvania .","Harrisburg, Pennsylvania",40.1,-76.9,none
"The Bank of North America , the central bank of the United States government under the Articles of Confederation , is re-incorporated after its charter had expired in 1786.",United States,38.9,-77.0,financial reform
"In the British House of Commons, Henry Beaufoy files the first motion to repeal the Test Act 1673 , which restricts the rights of non-members of the Church of England.; Beaufoy's motion is rejected, and the Act is not repealed until 1829.","London, United Kingdom",51.5,-0.1,religious reform
"Biblical theology becomes a separate discipline from biblical studies, as Johann Philipp Gabler delivers his speech ""On the proper distinction between biblical and dogmatic theology and the specific objectives of each"" upon his inauguration as the professor of theology at the University of Altdorf in Germany.","Altdorf, Germany",49.9,11.2,religious reform
"A Charter of Justice is signed, providing the authority for the establishment of the first New South Wales (i.e. Australian) Courts of Criminal and Civil Jurisdiction .","New South Wales, Australia",-33.86,151.21,none
The New Church (Swedenborgian) is founded in England.,England,54.0,-2.0,religious reform
"Captain Arthur Phillip leaves Portsmouth , England, with the 11 ships of the First Fleet , carrying around 700 convicts and at least 300 crew and guards to establish a penal colony in Australia.","Portsmouth, England",50.8,-1.1,purchase or sale of territory
"In Philadelphia , delegates begin arriving for a Constitutional Convention .",Philadelphia,39.95,-75.17,financial reform
"In Britain, Thomas Clarkson and Granville Sharp found the Society for Effecting the Abolition of the Slave Trade , with support from John Wesley , Josiah Wedgwood and others.",Britain,55.0,-3.0,religious reform
"In Philadelphia , delegates begin to convene the Constitutional Convention , intended to amend the Articles of Confederation (however, a new United States Constitution is eventually produced). George Washington presides over the Convention.","Philadelphia, United States",39.95,-75.17,none
The original Lord's Cricket Ground in London holds its first cricket match; Marylebone Cricket Club founded.,"London, United Kingdom",51.5,-0.1,none
Oliver Ellsworth moves at the Federal Convention that the government be called the United States.,United States,38.9,-77.0,none
"Princess Wilhelmina of Orange , sister of King Frederick William II of Prussia , is captured by Dutch Republican patriots , taken to Goejanverwellesluis and not allowed to travel to The Hague .","Goejanverwellesluis, Netherlands",53.0,5.5,revolution or coup
"The Congress of the Confederation enacts the Northwest Ordinance , establishing governing rules for the Northwest Territory (the future states of Ohio, Indiana, Illinois, Michigan and Wisconsin). It also establishes procedures for the admission of new states, and limits the expansion of slavery .",Northwest Territory,PARSE_ERROR,PARSE_ERROR,none
The United States ratifies its first treaty with the Sultanate of Morocco.,Morocco,31.0,-5.0,none
South Carolina cedes to the United States its claims to a 12-mile wide strip of land that runs across northern Alabama and Mississippi.,South Carolina,34.0,-81.0,purchase or sale of territory
Wolfgang Amadeus Mozart composes his famous Eine kleine Nachtmusik .,,,,none
"Launching a 45-foot (14 m) steam powered craft on the Delaware River, John Fitch demonstrates the first U.S. patent for his design.","Delaware River, United States",39.7,-75.1,none
"Prussian troops invade the Dutch Republic ; two days later the Rhinegrave Salm gave up Utrecht. Within a few weeks 40,000 Patriots (out of a population of 2,000,000) go into exile in Northern France .","Dutch Republic, Utrecht, Northern France",PARSE_ERROR,PARSE_ERROR,war
The United States Constitution is signed by the Constitutional Convention in Philadelphia .,Philadelphia,39.95,-75.17,none
Washington Academy (later Washington & Jefferson College ) is chartered by the Pennsylvania General Assembly .,"Pennsylvania, United States",40.3,-79.5,none
"Russo-Turkish War (1787–92) – Battle of Kinburn : Alexander Suvorov , though sustaining a wound, routs the Turks.",Kinburn,48.8,33.1,war
"The first of The Federalist Papers , a series of essays calling for ratification of the U.S. Constitution , is published in The Independent Journal , a New York newspaper.","New York, United States",40.7,-74.0,none
Wolfgang Amadeus Mozart 's opera Don Giovanni ( libretto by Lorenzo Da Ponte ) premieres in the Estates Theatre in Prague .,Prague,50.07,14.4,none
"The first secondary education school open to girls in Sweden, Societetsskolan , is founded in Gothenburg.","Gothenburg, Sweden",57.7,11.9,none
